lemma,pos,freq_per_100000
,ADJ,0.0075385042295908755
,NOUN,0.0075385042295908755
a,ADJ,0.07538504229590876
a,ADP,0.015077008459181751
a,ADV,0.8292354652549964
a,CCONJ,0.04523102537754525
a,DET,2297.698396658151
a,INTJ,0.0075385042295908755
a,NOUN,13.275305948309532
a,NUM,0.015077008459181751
a,PROPN,14.466389616584891
a,PUNCT,0.6332343552856335
a,SYM,0.022615512688772627
a,VERB,0.03769252114795438
a,X,2.826939086096578
aaa,NOUN,0.015077008459181751
aaa,PROPN,0.7463119187294966
aah,NOUN,0.015077008459181751
aah,PROPN,0.022615512688772627
aah,VERB,0.03769252114795438
aahing,NOUN,0.0075385042295908755
aal,ADJ,0.04523102537754525
aal,NOUN,0.14323158036222663
aal,PROPN,0.17338559728059014
aal,VERB,0.030154016918363502
aardvark,PROPN,0.015077008459181751
aaron,PROPN,0.39954072416831643
aaronic,PROPN,0.0075385042295908755
aarp,NOUN,0.04523102537754525
aarp,PROPN,0.16584709305099926
aarp,VERB,0.015077008459181751
aas,PROPN,0.022615512688772627
aba,NOUN,0.06784653806631788
aba,PROPN,0.3467711945611803
aback,ADV,0.10553905921427226
abacus,NOUN,0.03769252114795438
abacus,PROPN,0.030154016918363502
abaft,VERB,0.0075385042295908755
abalone,NOUN,0.06784653806631788
abalone,PROPN,0.0075385042295908755
abalone,VERB,0.0075385042295908755
abandon,NOUN,0.14323158036222663
abandon,PROPN,0.022615512688772627
abandon,VERB,3.746636602106665
abandoner,NOUN,0.0075385042295908755
abandoning,NOUN,0.030154016918363502
abandoning,VERB,0.0075385042295908755
abandonment,NOUN,0.25630914380608977
abas,PROPN,0.0075385042295908755
abase,VERB,0.022615512688772627
abasement,NOUN,0.0075385042295908755
abash,VERB,0.022615512688772627
abashed,VERB,0.0075385042295908755
abashment,NOUN,0.0075385042295908755
abasic,NOUN,0.13569307613263576
abasic,PROPN,0.0075385042295908755
abate,PROPN,0.05276952960713613
abate,VERB,0.10553905921427226
abatement,NOUN,0.060308033836727004
abating,ADJ,0.0075385042295908755
abattoir,ADJ,0.0075385042295908755
abattoir,NOUN,0.015077008459181751
abattoir,PROPN,0.0075385042295908755
abaxial,NOUN,0.0075385042295908755
abba,PROPN,0.022615512688772627
abbas,PROPN,0.015077008459181751
abbasid,PROPN,0.0075385042295908755
abbaye,PROPN,0.030154016918363502
abbess,NOUN,0.0075385042295908755
abbesses,PROPN,0.022615512688772627
abbey,NOUN,0.31661717764281677
abbey,PROPN,0.4749257664642252
abbeys,PROPN,0.0075385042295908755
abbot,NOUN,0.060308033836727004
abbot,PROPN,0.10553905921427226
abbot,VERB,0.0075385042295908755
abbott,PROPN,0.2713861522652715
abbreviate,VERB,0.36938670724995293
abbreviated,ADJ,0.060308033836727004
abbreviated,PROPN,0.0075385042295908755
abbreviating,NOUN,0.015077008459181751
abbreviation,NOUN,1.3569307613263577
abbreviations,PROPN,1.1684681555865857
abby,PROPN,0.12815457190304488
abc,NOUN,0.06784653806631788
abc,PROPN,3.935099207846437
abcissa,NOUN,0.0075385042295908755
abd,NOUN,0.0075385042295908755
abd,PROPN,0.13569307613263576
abdal,PROPN,0.0075385042295908755
abdicate,NOUN,0.0075385042295908755
abdicate,VERB,0.12815457190304488
abdicated,ADJ,0.0075385042295908755
abdication,NOUN,0.10553905921427226
abdomen,NOUN,0.022615512688772627
abdomen,PROPN,0.030154016918363502
abdominal,ADJ,0.6558498679744061
abdominal,NOUN,0.015077008459181751
abdominal,PROPN,0.03769252114795438
abducens,ADJ,0.0075385042295908755
abducens,PROPN,0.015077008459181751
abduct,NOUN,0.0075385042295908755
abduct,VERB,0.12061606767345401
abducted,ADJ,0.0075385042295908755
abducted,NOUN,0.0075385042295908755
abductee,NOUN,0.015077008459181751
abduction,NOUN,0.14323158036222663
abduction,PROPN,0.015077008459181751
abeam,NOUN,0.0075385042295908755
abecedarium,PROPN,0.022615512688772627
abecedarius,NOUN,0.015077008459181751
abel,PROPN,0.09800055498468138
abele,PROPN,0.0075385042295908755
abelmoschus,PROPN,0.0075385042295908755
aberdeen,PROPN,0.12815457190304488
aberrancy,NOUN,0.10553905921427226
aberrant,ADJ,0.791542944107042
aberrant,PROPN,0.0075385042295908755
aberrantly,ADV,0.10553905921427226
aberration,NOUN,0.23369363111731714
aberration,PROPN,0.0075385042295908755
aberrational,ADJ,0.0075385042295908755
abet,NOUN,0.0075385042295908755
abet,PROPN,0.0075385042295908755
abet,VERB,0.1884626057397719
abetter,PROPN,0.0075385042295908755
abetting,NOUN,0.0075385042295908755
abeyance,NOUN,0.0075385042295908755
abhominable,ADJ,0.0075385042295908755
abhor,NOUN,0.03769252114795438
abhor,PROPN,0.0075385042295908755
abhor,VERB,0.10553905921427226
abhorred,ADJ,0.0075385042295908755
abhorrence,NOUN,0.022615512688772627
abhorrent,ADJ,0.0075385042295908755
abhorrent,NOUN,0.030154016918363502
abhorrent,PROPN,0.0075385042295908755
abid,PROPN,0.0075385042295908755
abide,NOUN,0.015077008459181751
abide,VERB,0.663388372203997
abiding,ADJ,0.015077008459181751
abiding,NOUN,0.030154016918363502
abidjan,PROPN,0.015077008459181751
abies,PROPN,0.0075385042295908755
abigail,PROPN,0.180924101510181
abilene,PROPN,0.17338559728059014
ability,NOUN,15.039315938033797
abiotic,ADJ,0.20353961419895364
abiotically,ADV,0.0075385042295908755
abir,PROPN,0.060308033836727004
abit,PROPN,0.0075385042295908755
abject,ADJ,0.11307756344386313
abject,NOUN,0.022615512688772627
abject,PROPN,0.0075385042295908755
